cdk,district_name,year,geometry_ref,area_sqkm
JH_deogha_1991,Deoghar,1991,JH_deogha_1991_geometry,0.0
SK_eastdi_1981,East District,1981,SK_eastdi_1981_geometry,0.0
HR_mahend_1951,Mohindergarh,1951,HR_mahend_1951_geometry,0.0
MH_satara_1951,Satara North,1951,MH_satara_1951_geometry,0.0
TN_nilgir_1951,Nilgiri,1991,TN_nilgir_1951_geometry,0.0
JH_gumla_1991,Gumla,1991,JH_gumla_1991_geometry,0.0
KL_kottay_1951,Kottayam,1951,KL_kottay_1951_geometry,0.0
BR_bhagal_1991,Bhagalpur,1991,BR_bhagal_1991_geometry,0.0
NC_east_2001,East,2001,NC_east_2001_geometry,0.0
ML_easter_2024,Eastern West Khasi Hills,2024,ML_easter_2024_geometry,0.0
AR_lowers_1981,Lower Subansiri,1991,AR_lowers_1981_geometry,0.0
TG_medak_2011,Medak,2011,TG_medak_2011_geometry,0.0
TN_ariyal_2011,Ariyalur,2011,TN_ariyal_2011_geometry,0.0
AP_srikak_1971,Srikakulam,1971,AP_srikak_1971_geometry,0.0
BR_purnia_1981,Purnia,1981,BR_purnia_1981_geometry,0.0
UP_kausha_2001,Kaushambi,2001,UP_kausha_2001_geometry,0.0
CG_raipur_1991,Raipur,2011,CG_raipur_1991_geometry,0.0
RJ_chitto_1951,Chittorgarh,1951,RJ_chitto_1951_geometry,0.0
TN_dindig_1991,Dindigul,2001,TN_dindig_1991_geometry,0.0
SK_south_2001,South,2001,SK_south_2001_geometry,0.0
UP_farruk_1991,Farrukhabad,1991,UP_farruk_1991_geometry,0.0
RJ_sawaim_1951,Sawai Madhopur,1991,RJ_sawaim_1951_geometry,0.0
AR_siangf_1961,Siang Frontier Division,1961,AR_siangf_1961_geometry,0.0
JH_saraik_2011,Saraikela-kharsawan,2011,JH_saraik_2011_geometry,0.0
SK_namchi_2024,Namchi,2024,SK_namchi_2024_geometry,0.0
JK_doda_1961,Doda,2001,JK_doda_1961_geometry,0.0
HP_lahula_1971,Lahul and Spiti,2001,HP_lahula_1971_geometry,0.0
GJ_porban_2001,Porbandar,2001,GJ_porban_2001_geometry,0.0
MP_shahdo_1991,Shahdol,2001,MP_shahdo_1991_geometry,0.0
TG_warang_1951,Warangal,1951,TG_warang_1951_geometry,0.0
NL_kohima_1951,Kohima,1961,NL_kohima_1951_geometry,0.0
KA_dakshi_1971,Dakshin Kannad,1981,KA_dakshi_1971_geometry,0.0
SK_sikkim_1971,Sikkim,1971,SK_sikkim_1971_geometry,0.0
OD_ganjam_1991,Ganjam,1991,OD_ganjam_1991_geometry,0.0
PB_patial_1951,Patiala,1991,PB_patial_1951_geometry,0.0
MP_narmad_1951,Hoshangabad,1991,MP_narmad_1951_geometry,0.0
UP_shrawa_2001,Shrawasti,2001,UP_shrawa_2001_geometry,0.0
MP_seoni_1961,Seoni,1961,MP_seoni_1961_geometry,0.0
KL_kasarg_1991,Kasargod,1991,KL_kasarg_1991_geometry,0.0
KL_ernaku_1961,Ernakulam,1961,KL_ernaku_1961_geometry,0.0
AS_kamrup_1981,Kamrup Metropolitan,2011,AS_kamrup_1981_geometry,0.0
AP_bapatl_2024,Bapatla,2024,AP_bapatl_2024_geometry,0.0
DL_east_2001,East,2011,DL_east_2001_geometry,0.0
UP_amroha_2001,Jyotiba Phule Nagar,2001,UP_amroha_2001_geometry,0.0
RJ_karaul_2001,Karauli,2001,RJ_karaul_2001_geometry,0.0
SK_west_2001,West,2001,SK_west_2001_geometry,0.0
TN_chenna_1991,Chennai,2001,TN_chenna_1991_geometry,0.0
JH_santha_1971,Santhal Pargana,1981,JH_santha_1971_geometry,0.0
GJ_junaga_1951,Junagadh,1991,GJ_junaga_1951_geometry,0.0
UK_almora_1951,Almora,1951,UK_almora_1951_geometry,0.0
TN_chidam_1991,Chidambaranar,1991,TN_chidam_1991_geometry,0.0
KA_dakshi_1971,South Kanara,1971,KA_dakshi_1971_geometry,0.0
CG_durg_1971,Durg,1971,CG_durg_1971_geometry,0.0
