source_district,dest_district,source_year,dest_year,filter_state,confidence_score,census_code_2011,split_type,notification_date
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Tirap Frontier Tract,Tirap Frontier Division,1951,1961,Arunachal Pradesh,High,Pending,Bifurcation,1961
Upper Subansiri,Kamle,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
West Kameng,Tawang,1981,1991,Arunachal Pradesh,High,Pending,Bifurcation,1991
West Siang,Siang,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
West Siang,Lower Siang,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
West Siang,Lepa - Rada,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
West Siang,Shi-Yomi,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
West Siang,Lower Siang,2011,2024,Arunachal Pradesh,High,Pending,Bifurcation,2024
Anantapur,Sri Sathya Sai,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Chittoor,Annamayya,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Chittoor,Tirupati,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Cuddapah,Y.S.R.,2001,2011,Andhra Pradesh,High,Pending,Bifurcation,2011
Cuddapah,Y.S.R.,2001,2011,Andhra Pradesh,High,Pending,Bifurcation,2011
East Godavari,Alluri Sitharama Raju,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
East Godavari,Dr. B. R. Ambedkar Konaseema,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
East Godavari,Kakinada,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Guntur,Bapatla,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Guntur,Palnadu,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Krishna,NTR,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Kurnool,Nandyal,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Nellore,Prakasam,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Nellore,Sri Potti Sriramulu Nellore,2001,2011,Andhra Pradesh,High,Pending,Bifurcation,2011
Nellore,Sri Potti Sriramulu Nellore,2001,2011,Andhra Pradesh,High,Pending,Bifurcation,2011
Sri Potti Sriramulu Nellore,Tirupati,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Srikakulam,Vizianagaram,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Srikakulam,Vizianagaram,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Srikakulam,Parvathipuram Manyam,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Visakhapatnam,Vizianagaram,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Visakhapatnam,Vizianagaram,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Visakhapatnam,Vishakhapatnam,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Visakhapatnam,Vishakhapatnam,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Visakhapatnam,Vishakhapatnam,1971,1981,Andhra Pradesh,High,Pending,Bifurcation,1981
Visakhapatnam,Alluri Sitharama Raju,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Visakhapatnam,Anakapalli,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Vishakhapatnam,Visakhapatnam,1981,1991,Andhra Pradesh,High,Pending,Bifurcation,1991
Vishakhapatnam,Visakhapatnam,1981,1991,Andhra Pradesh,High,Pending,Bifurcation,1991
Vishakhapatnam,Visakhapatnam,1981,1991,Andhra Pradesh,High,Pending,Bifurcation,1991
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh,High,Pending,Bifurcation,1961
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh,High,Pending,Bifurcation,1961
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh,High,Pending,Bifurcation,1961
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh,High,Pending,Bifurcation,1961
Vizagapatnam,Visakhapatnam,1951,1961,Andhra Pradesh,High,Pending,Bifurcation,1961
Vizianagaram,Parvathipuram Manyam,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Vizianagaram,Alluri Sitharama Raju,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
West Godavari,Eluru,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Y.S.R.,Annamayya,2011,2024,Andhra Pradesh,High,Pending,Bifurcation,2024
Andaman,Andamans,1981,1991,Andaman and Nicobar Islands,High,Pending,Bifurcation,1991
Andaman,Andamans,1981,1991,Andaman and Nicobar Islands,High,Pending,Bifurcation,1991
Andaman and Nicobar Islands,Nicobar,1971,1981,Andaman and Nicobar Islands,High,Pending,Bifurcation,1981
Andaman and Nicobar Islands,Andaman,1971,1981,Andaman and Nicobar Islands,High,Pending,Bifurcation,1981
Andaman and Nicobar Islands,Andaman,1971,1981,Andaman and Nicobar Islands,High,Pending,Bifurcation,1981
Andamans,North & Middle Andaman,2001,2011,Andaman and Nicobar Islands,High,Pending,Bifurcation,2011
Andamans,South Andaman,2001,2011,Andaman and Nicobar Islands,High,Pending,Bifurcation,2011
Nicobar,Nicobars,1981,1991,Andaman and Nicobar Islands,High,Pending,Bifurcation,1991
Nicobars,Nicobar,2001,2011,Andaman and Nicobar Islands,High,Pending,Bifurcation,2011
